,article_uni,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Oxford Brookes,UK,,,,,,,,,,,401,401,401
1,University of Cambridge,UK,,,,,,6,6,7,7,5,4,4,2
2,London School of Economics and Political Science,UK,,,,,,86,47,39,32,34,23,25,25
3,University of Edinburgh,UK,,,,,,40,36,32,39,36,24,27,27
4,University of Manchester,UK,,,,,,87,48,49,58,52,56,55,54
5,University of Bristol,UK,,,,,,68,66,74,79,74,69,71,76
6,University of Glasgow,UK,,,,,,128,102,139,117,94,76,88,80
7,University of Warwick,UK,,,,,,,157,124,14,103,80,82,91
8,Durham University,UK,,,,,,85,83,80,80,83,70,96,97
9,University of Sheffield,UK,,,,,,137,101,110,112,121,97,109,104
10,Queen Mary University of London,UK,,,,,,120,127,145,114,107,98,113,121
11,University of Southampton,UK,,,,,,90,127,13,146,132,110,121,126
12,University of Exeter,UK,,,,,,184,156,153,148,154,93,126,130
13,University of York,UK,,,,,,81,121,103,100,113,131,129,137
14,University of Leeds,UK,,,,,,168,133,142,139,146,133,133,139
15,University of Birmingham,UK,,,,,,145,148,158,153,148,119,130,141
16,University of St Andrews,UK,,,,,,103,85,108,117,111,86,110,143
17,University of Nottingham,UK,,,,,,174,140,120,157,171,143,147,147
18,University of Sussex,UK,,,,,,79,99,110,121,111,140,149,147
19,Lancaster University,UK,,,,,,124,131,145,137,131,130,137,150
20,University of Leicester,UK,,,,,,,197,196,161,199,167,172,159
21,Cardiff Metropolitan University,UK,,,,,,,,,,,,,
22,Newcastle University,UK,,,,,,152,146,180,198,201,196,190,175
23,University of Liverpool,UK,,,,,,165,181,171,169,157,157,158,177
24,University of Aberdeen,UK,,,,,,149,151,176,188,178,172,188,185
25,University of Dundee,UK,,,,,,140,176,201,196,201,185,180,187
26,University of East Anglia,UK,,,,,,174,145,176,174,198,149,165,188
27,"Royal Holloway, University of London",UK,,,,,,88,107,119,102,118,129,173,197
28,Queens University of Belfast,UK,,,,,,,201,276,251,251,200,201,201
29,University of Reading,UK,,,,,,,164,176,194,201,164,192,201
30,University of Bath,UK,,,,,,,251,276,276,301,251,251,251
31,University of Essex,UK,,,,,,,201,251,251,301,301,301,251
32,University of Surrey,UK,,,,,,,301,351,351,400,251,251,251
33,Swansea University,UK,,,,,,,350,,,,351,301,251
34,Aberystwyth University,UK,,,,,,,276,276,301,351,301,301,301
35,Anglia Ruskin University,UK,,,,,,,,,,,,301,301
36,The California Institute of Technology,USA,,,,,,2,1,1,1,1,1,2,3
37,Stanford University,USA,,,,,,4,2,2,4,4,3,3,3
38,The Massachusetts Institute of Technology,USA,,,,,,3,7,5,5,6,5,5,5
39,Harvard University,USA,,,,,,1,2,4,2,2,6,6,6
40,Princeton University,USA,,,,,,5,5,6,6,7,7,7,7
41,The University of Chicago,USA,,,,,,12,9,10,9,11,10,10,9
42,The Indiana University of Pennsylvania,USA,,,,,,19,16,15,16,16,17,13,10
43,Yale University,USA,,,,,,10,11,11,11,9,12,12,12
44,Johns Hopkins University,USA,,,,,,13,14,16,15,15,11,17,13
45,Columbia University in the City of New York,USA,,,,,,18,12,14,13,14,15,16,14
46,The University of California - Los Angeles,USA,,,,,,11,13,13,12,12,16,14,15
47,Duke University,USA,,,,,,24,22,23,17,18,20,18,17
48,Cornell University,USA,,,,,,14,20,18,19,19,18,19,19
49,Northwestern University,USA,,,,,,25,26,19,22,21,25,20,20
50,The University of Michigan - Ann Arbor,USA,,,,,,15,18,20,18,17,21,21,21
51,The University of Toronto (Canada),Canada,,,,,,17,19,21,20,20,19,22,22
52,Carnegie Mellon University,USA,,,,,,20,21,22,24,24,22,23,24
53,The University of Washington - Seattle,USA,,,,,,23,25,24,25,26,32,25,25
54,The University of California San Diego,USA,,,,,,32,33,38,40,41,39,41,31
55,The Georgia Institute of Technology,USA,,,,,,27,24,25,28,27,41,33,33
56,The University of British Columbia (Canada),Canada,,,,,,30,22,30,31,32,34,36,34
57,The University of Illinois Urbana - Champaign,USA,,,,,,33,31,33,29,29,36,36,37
58,McGill University (Canada),Canada,,,,,,35,28,34,35,39,38,42,42
59,The University of Wisconsin - Madison,USA,,,,,,,27,31,30,29,50,45,43
60,The University of Texas - Austin,USA,,,,,,,29,25,27,28,46,50,49
61,Brown University,USA,,,,,,55,49,51,52,54,51,51,50
62,Washington University in St Louis,USA,,,,,,38,41,44,42,42,60,57,50
63,The University of California - Santa Barbara,USA,,,,,,29,35,35,33,37,39,48,53
64,The University of California - Davis,USA,,,,,,54,38,44,52,55,44,51,54
65,The University of New Hampshire - Manchester,UK,,,,,,,,,,,,601,
66,The University of Minnesota Twin Cities,USA,,,,,,52,42,47,46,46,65,53,56
67,The University of North Carolina - Chapel Hill,USA,,,,,,30,43,42,47,46,63,56,56
68,Purdue University,USA,,,,,,106,98,69,62,102,113,70,60
69,The University of Southern California,USA,,,,,,73,55,56,70,75,68,60,66
70,The University of Maryland - College Park,USA,,,,,,98,94,97,108,132,117,67,69
71,Boston University,USA,,,,,,59,54,54,50,57,64,64,70
72,Ohio State University,USA,,,,,,66,57,53,59,68,90,72,70
73,Pennsylvania State University,USA,,,,,,109,51,61,49,58,75,68,77
74,McMaster University (Canada),Canada,,,,,,93,65,88,92,94,94,113,78
75,Michigan State University,USA,,,,,,122,96,94,83,82,99,101,83
76,Rice University,USA,,,,,,47,72,75,65,69,101,87,86
77,Dartmouth College,USA,,,,,,99,90,124,126,152,104,82,89
78,Emory University,USA,,,,,,61,75,79,80,93,90,82,98
79,The University of California - Irvine,USA,,,,,,49,86,96,93,88,106,98,99
